,,,,,,,,,,ROUNDS  ,TIME ROUND
,,,,,,,,,,1.43,14:32
,,,,,,,,,,1.09,14:31
,,,,,,,,,,1.42,14:31
,,,,,,,,,,6.06,14:31
,,,,,,,,,,6.50,14:30
,,,,,,,,,,8.05,14:29
,,,,,,,,,,2.50,14:29
,,,,,,,,,,181.55,14:28
,,,,,,,,,,2.81,14:26
,,,,,,,,,,1.18,14:26
,,,,,,,,,,5.17,14:26
,,,,,,,,,,2.35,14:25
,,,,,,,,,,1.79,14:25
,,,,,,,,,,2.08,14:24
,,,,,,,,,,1.28,14:24
,,,,,,,,,,8.56,14:24
,,,,,,,,,,1.34,14:23
,,,,,,,,,,8.92,14:23
,,,,,,,,,,1.37,14:22
,,,,,,,,,,1.11,14:21
,,,,,,,,,,1.51,14:21
,,,,,,,,,,1.43,14:21
,,,,,,,,,,1.95,14:21
,,,,,,,,,,1.74,14:20
,,,,,,,,,,3.31,14:20
,,,,,,,,,,2.16,14:19
,,,,,,,,,,1.08,14:19
,,,,,,,,,,1.01,14:19
,,,,,,,,,,30.53,14:18
,,,,,,,,,,12.54,14:17
,,,,,,,,,,1.22,14:16
,,,,,,,,,,9.65,14:16
,,,,,,,,,,12.55,14:15
,,,,,,,,,,2.13,14:14
,,,,,,,,,,3.81,14:14
,,,,,,,,,,1.49,14:13
,,,,,,,,,,4.31,14:13
,,,,,,,,,,1.08,14:13
,,,,,,,,,,1.08,14:12
,,,,,,,,,,1.63,14:12
,,,,,,,,,,2.24,14:12
,,,,,,,,,,13.70,14:11
,,,,,,,,,,5.07,14:10
,,,,,,,,,,1.01,14:10
,,,,,,,,,,8.35,14:10
,,,,,,,,,,43.90,14:09
,,,,,,,,,,9.87,14:08
,,,,,,,,,,1.64,14:07
,,,,,,,,,,1.59,14:06
,,,,,,,,,,1.09,14:06
,,,,,,,,,,5.26,14:06
,,,,,,,,,,8.25,14:05
,,,,,,,,,,1.76,14:04
,,,,,,,,,,1.94,14:04
,,,,,,,,,,1.20,14:04
,,,,,,,,,,2.44,14:03
,,,,,,,,,,2.06,14:03
,,,,,,,,,,2.95,14:03
,,,,,,,,,,3.44,14:02
,,,,,,,,,,1.03,14:02
,,,,,,,,,,1.80,14:01
,,,,,,,,,,1.12,14:01
,,,,,,,,,,3.70,14:01
,,,,,,,,,,1.50,14:00
,,,,,,,,,,1.22,14:00
,,,,,,,,,,1.28,14:00
,,,,,,,,,,1.45,13:59
,,,,,,,,,,1.63,13:59
,,,,,,,,,,1.81,13:59
,,,,,,,,,,1.15,13:58
,,,,,,,,,,4.78,13:58
,,,,,,,,,,29.07,13:57
,,,,,,,,,,1.60,13:56
,,,,,,,,,,2.26,13:56
,,,,,,,,,,2.31,13:56
,,,,,,,,,,73.08,13:55
,,,,,,,,,,8.33,13:54
,,,,,,,,,,6.57,13:53
,,,,,,,,,,1.46,13:52
,,,,,,,,,,1.19,13:52
,,,,,,,,,,2.05,13:52
,,,,,,,,,,3.39,13:51
,,,,,,,,,,3.78,13:51
,,,,,,,,,,2.50,13:50
,,,,,,,,,,4.02,13:50
,,,,,,,,,,1.39,13:49
,,,,,,,,,,1.47,13:49
,,,,,,,,,,2.42,13:49
,,,,,,,,,,1.11,13:48
,,,,,,,,,,21.93,13:48
,,,,,,,,,,4.89,13:47
,,,,,,,,,,1.64,13:46
,,,,,,,,,,2.72,13:46
,,,,,,,,,,1.19,13:45
,,,,,,,,,,278.68,13:45
,,,,,,,,,,2.06,13:43
,,,,,,,,,,1.84,13:43
,,,,,,,,,,2.39,13:43
,,,,,,,,,,1.02,13:42
,,,,,,,,,,1.50,13:42
,,,,,,,,,,2.02,13:42
,,,,,,,,,,1.22,13:41
,,,,,,,,,,1.59,13:41
,,,,,,,,,,2.84,13:41
,,,,,,,,,,1.09,13:40
,,,,,,,,,,1.07,13:40
,,,,,,,,,,2.82,13:40
,,,,,,,,,,2.78,13:39
,,,,,,,,,,3.72,13:39
,,,,,,,,,,23.21,13:38
,,,,,,,,,,1.60,13:37
,,,,,,,,,,4.75,13:37
,,,,,,,,,,1.45,13:36
,,,,,,,,,,3.71,13:36
,,,,,,,,,,2.45,13:35
,,,,,,,,,,2.30,13:35
,,,,,,,,,,2.38,13:35
,,,,,,,,,,5.69,13:34
,,,,,,,,,,1.09,13:34
,,,,,,,,,,2.19,13:33
,,,,,,,,,,1.31,13:33
,,,,,,,,,,2.14,13:33
,,,,,,,,,,2.07,13:32
,,,,,,,,,,2.04,13:32
,,,,,,,,,,1.31,13:31
,,,,,,,,,,1.09,13:31
,,,,,,,,,,1.49,13:31
,,,,,,,,,,1.52,13:30
,,,,,,,,,,1.89,13:30
,,,,,,,,,,1.36,13:30
,,,,,,,,,,4.13,13:30
,,,,,,,,,,1.37,13:29
,,,,,,,,,,2.10,13:29
,,,,,,,,,,4.19,13:28
,,,,,,,,,,1.63,13:28
,,,,,,,,,,1.47,13:27
,,,,,,,,,,2.14,13:27
,,,,,,,,,,2.57,13:27
,,,,,,,,,,6.71,13:26
,,,,,,,,,,2.34,13:25
,,,,,,,,,,1.01,13:25
,,,,,,,,,,5.41,13:25
,,,,,,,,,,2.33,13:24
,,,,,,,,,,1.52,13:24
,,,,,,,,,,1.09,13:23
,,,,,,,,,,2.87,13:23
,,,,,,,,,,11.92,13:23
,,,,,,,,,,1.98,13:22
,,,,,,,,,,1.76,13:21
,,,,,,,,,,3.41,13:21
,,,,,,,,,,1.32,13:20
,,,,,,,,,,3.26,13:20
,,,,,,,,,,1.54,13:20
,,,,,,,,,,3.90,13:19
,,,,,,,,,,14.62,13:19
,,,,,,,,,,1.03,13:18
,,,,,,,,,,141.92,13:18
,,,,,,,,,,2.41,13:16
,,,,,,,,,,5.24,13:16
,,,,,,,,,,2.11,13:15
,,,,,,,,,,1.07,13:15
,,,,,,,,,,1.49,13:14
,,,,,,,,,,1.04,13:14
,,,,,,,,,,2.14,13:14
,,,,,,,,,,1.39,13:13
,,,,,,,,,,1.05,13:13
,,,,,,,,,,1.22,13:13
,,,,,,,,,,1.67,13:13
,,,,,,,,,,5.71,13:12
,,,,,,,,,,1.30,13:12
,,,,,,,,,,2.74,13:11
,,,,,,,,,,1.84,13:11
,,,,,,,,,,21.92,13:11
,,,,,,,,,,1.10,13:11
,,,,,,,,,,1.30,13:11
,,,,,,,,,,26.40,13:11
,,,,,,,,,,3.39,13:11
,,,,,,,,,,1.64,13:11
,,,,,,,,,,1.63,13:11
,,,,,,,,,,1.70,13:11
,,,,,,,,,,4.24,13:06
,,,,,,,,,,1.05,13:06
,,,,,,,,,,27.18,13:06
,,,,,,,,,,1.67,13:04
,,,,,,,,,,2.59,13:04
,,,,,,,,,,2.18,13:04
,,,,,,,,,,1.70,13:03
,,,,,,,,,,4.25,13:03
,,,,,,,,,,1.54,13:02
,,,,,,,,,,1.46,13:02
,,,,,,,,,,1.19,13:02
,,,,,,,,,,3.60,13:01
,,,,,,,,,,1.68,13:01
,,,,,,,,,,3.81,13:00
,,,,,,,,,,1.82,13:00
,,,,,,,,,,1.01,13:00
,,,,,,,,,,1.17,12:59
,,,,,,,,,,4.56,12:59
,,,,,,,,,,1.88,12:59
,,,,,,,,,,1.20,12:58
,,,,,,,,,,3.70,12:58
,,,,,,,,,,1.63,12:57
,,,,,,,,,,1.05,12:57
,,,,,,,,,,1.14,12:57
,,,,,,,,,,1.97,12:57
,,,,,,,,,,1.00,12:56
,,,,,,,,,,2.86,12:56
,,,,,,,,,,15.50,12:55
,,,,,,,,,,1.00,12:55
,,,,,,,,,,1.07,12:54
,,,,,,,,,,1.35,12:54
,,,,,,,,,,1.37,12:54
,,,,,,,,,,1.56,12:54
,,,,,,,,,,1.16,12:53
,,,,,,,,,,1.29,12:53
,,,,,,,,,,1.02,12:53
,,,,,,,,,,1.11,12:52
,,,,,,,,,,1.30,12:52
,,,,,,,,,,1.38,12:52
,,,,,,,,,,1.04,12:52
,,,,,,,,,,1.25,12:51
,,,,,,,,,,13.04,12:51
,,,,,,,,,,1.13,12:50
,,,,,,,,,,1.11,12:50
,,,,,,,,,,1.02,12:50
,,,,,,,,,,60.30,12:50
,,,,,,,,,,9.49,12:48
,,,,,,,,,,1.80,12:47
,,,,,,,,,,1.30,12:47
,,,,,,,,,,3.21,12:47
,,,,,,,,,,1.47,12:46
,,,,,,,,,,1.02,12:46
,,,,,,,,,,1.11,12:46
,,,,,,,,,,1.14,12:46
,,,,,,,,,,1.18,12:45
,,,,,,,,,,1.14,12:45
,,,,,,,,,,12.62,12:45
,,,,,,,,,,1.27,12:44
,,,,,,,,,,2.32,12:44
,,,,,,,,,,42.62,12:43
,,,,,,,,,,1.10,12:42
,,,,,,,,,,12.09,12:42
,,,,,,,,,,1.77,12:41
,,,,,,,,,,10.56,12:41
,,,,,,,,,,2.76,12:40
,,,,,,,,,,2.62,12:39
,,,,,,,,,,1.04,12:39
,,,,,,,,,,1.47,12:39
,,,,,,,,,,2.39,12:38
,,,,,,,,,,1.10,12:38
,,,,,,,,,,3.06,12:38
,,,,,,,,,,3.62,12:37
,,,,,,,,,,1.11,12:37
,,,,,,,,,,2.49,12:36
,,,,,,,,,,5.53,12:36
,,,,,,,,,,1.40,12:35
,,,,,,,,,,2.39,12:35
,,,,,,,,,,1.01,12:34
,,,,,,,,,,1.17,12:34
,,,,,,,,,,30.32,12:34
,,,,,,,,,,1.59,12:33
,,,,,,,,,,1.50,12:33
,,,,,,,,,,5.40,12:32
,,,,,,,,,,4.47,12:32
,,,,,,,,,,1.88,12:31
,,,,,,,,,,9.45,12:31
,,,,,,,,,,1.77,12:30
,,,,,,,,,,6.15,12:29
,,,,,,,,,,1.74,12:29
,,,,,,,,,,4.43,12:28
,,,,,,,,,,6.13,12:28
,,,,,,,,,,1.04,12:27
,,,,,,,,,,1.87,12:27
,,,,,,,,,,2.39,12:26
,,,,,,,,,,1.21,12:26
,,,,,,,,,,3.54,12:26
,,,,,,,,,,3.32,12:25
,,,,,,,,,,1.03,12:25
,,,,,,,,,,5.90,12:24
,,,,,,,,,,3.87,12:24
,,,,,,,,,,1.13,12:23
,,,,,,,,,,6.09,12:23
,,,,,,,,,,1.53,12:22
,,,,,,,,,,1.26,12:22
,,,,,,,,,,2.61,12:22
,,,,,,,,,,1.74,12:21
,,,,,,,,,,1.03,12:21
,,,,,,,,,,2.93,12:21
,,,,,,,,,,21.84,12:20
,,,,,,,,,,1.27,12:19
,,,,,,,,,,1.51,12:19
,,,,,,,,,,4.42,12:19
,,,,,,,,,,587.03,12:18
,,,,,,,,,,1.15,12:16
,,,,,,,,,,68.99,12:16
,,,,,,,,,,108.87,12:14
,,,,,,,,,,64.50,12:13
,,,,,,,,,,1.45,12:11
,,,,,,,,,,1.62,12:11
,,,,,,,,,,2.87,12:11
,,,,,,,,,,3.31,12:10
,,,,,,,,,,1.05,12:10
,,,,,,,,,,11.47,12:10
,,,,,,,,,,2.95,12:09
,,,,,,,,,,1.03,12:08
,,,,,,,,,,2.62,12:08
,,,,,,,,,,1.47,12:08
,,,,,,,,,,11.08,12:07
,,,,,,,,,,1.01,12:06
,,,,,,,,,,12.45,12:06
,,,,,,,,,,1.44,12:05
,,,,,,,,,,7.02,12:05
,,,,,,,,,,3.72,12:04
,,,,,,,,,,3.04,12:04
,,,,,,,,,,1.66,12:03
,,,,,,,,,,1.85,12:03
,,,,,,,,,,10.50,12:03
,,,,,,,,,,8.38,12:02
,,,,,,,,,,2.42,12:01
,,,,,,,,,,3.07,12:00
,,,,,,,,,,1.34,12:00
,,,,,,,,,,3.72,12:00
,,,,,,,,,,1.61,11:59
,,,,,,,,,,1.14,11:59
,,,,,,,,,,1.75,11:59
,,,,,,,,,,1.00,11:58
,,,,,,,,,,1.60,11:58
,,,,,,,,,,1.62,11:58
,,,,,,,,,,3.11,11:57
,,,,,,,,,,1.02,11:57
,,,,,,,,,,1.38,11:57
,,,,,,,,,,1.22,11:56
,,,,,,,,,,109.44,11:56
,,,,,,,,,,2.84,11:55
,,,,,,,,,,13.44,11:54
,,,,,,,,,,1.95,11:53
,,,,,,,,,,4.04,11:53
,,,,,,,,,,1.66,11:52
,,,,,,,,,,2.57,11:52
,,,,,,,,,,3.84,11:51
,,,,,,,,,,2.28,11:51
,,,,,,,,,,1.29,11:51
,,,,,,,,,,1.12,11:50
,,,,,,,,,,1.60,11:50
,,,,,,,,,,1.16,11:50
,,,,,,,,,,1.38,11:50
,,,,,,,,,,3.20,11:50
,,,,,,,,,,33.74,11:50
,,,,,,,,,,1.76,11:50
,,,,,,,,,,2.09,11:50
,,,,,,,,,,1.71,11:50
,,,,,,,,,,1.57,11:50
,,,,,,,,,,2.98,11:50
,,,,,,,,,,2.90,11:39
,,,,,,,,,,1.59,11:39
,,,,,,,,,,1.12,11:38
,,,,,,,,,,1.89,11:38
,,,,,,,,,,1.23,11:38
,,,,,,,,,,4.32,11:38
,,,,,,,,,,1.44,11:37
,,,,,,,,,,5.54,11:37
,,,,,,,,,,4.88,11:36
,,,,,,,,,,2.72,11:35
,,,,,,,,,,1.47,11:35
,,,,,,,,,,6.18,11:35
,,,,,,,,,,1.52,11:34
,,,,,,,,,,1.51,11:34
,,,,,,,,,,1.00,11:33
,,,,,,,,,,5.49,11:33
,,,,,,,,,,8.24,11:32
,,,,,,,,,,4.51,11:32
,,,,,,,,,,4.50,11:31
,,,,,,,,,,3.05,11:30
,,,,,,,,,,1.86,11:30
,,,,,,,,,,10.83,11:30
,,,,,,,,,,2.03,11:29
,,,,,,,,,,1.76,11:28
,,,,,,,,,,434.92,11:28
,,,,,,,,,,1.58,11:26
,,,,,,,,,,1.56,11:26
,,,,,,,,,,1.45,11:25
,,,,,,,,,,1.13,11:25
,,,,,,,,,,2.01,11:25
,,,,,,,,,,1.90,11:24
,,,,,,,,,,1.20,11:24
,,,,,,,,,,1.27,11:24
,,,,,,,,,,1.58,11:24
,,,,,,,,,,4.79,11:23
,,,,,,,,,,4.21,11:23
,,,,,,,,,,7.18,11:22
,,,,,,,,,,1.89,11:21
,,,,,,,,,,1.79,11:21
,,,,,,,,,,99.58,11:21
,,,,,,,,,,1.29,11:19
,,,,,,,,,,5.96,11:19
,,,,,,,,,,1.78,11:18
,,,,,,,,,,5.71,11:18
,,,,,,,,,,1.63,11:17
,,,,,,,,,,3.91,11:17
,,,,,,,,,,1.72,11:16
,,,,,,,,,,1.91,11:16
,,,,,,,,,,3.44,11:15
,,,,,,,,,,3.51,11:15
,,,,,,,,,,8.37,11:14
,,,,,,,,,,1.07,11:14
,,,,,,,,,,1.59,11:13
,,,,,,,,,,1.13,11:13
,,,,,,,,,,1.83,11:13
,,,,,,,,,,5.47,11:12
,,,,,,,,,,1.36,11:12
,,,,,,,,,,7.01,11:11
,,,,,,,,,,3.80,11:11
,,,,,,,,,,3.64,11:10
,,,,,,,,,,1.30,11:10
,,,,,,,,,,1.17,11:09
,,,,,,,,,,7.16,11:09
,,,,,,,,,,2.72,11:08
,,,,,,,,,,4.74,11:08
,,,,,,,,,,2.69,11:07
,,,,,,,,,,2.96,11:07
,,,,,,,,,,1.14,11:06
,,,,,,,,,,2.38,11:06
,,,,,,,,,,1.21,11:06
,,,,,,,,,,4.16,11:05
,,,,,,,,,,4.27,11:05
,,,,,,,,,,1.74,11:04
,,,,,,,,,,1.06,11:04
,,,,,,,,,,2.32,11:04
,,,,,,,,,,21.65,11:03
,,,,,,,,,,1.67,11:02
,,,,,,,,,,1.16,11:02
,,,,,,,,,,2.07,11:02
,,,,,,,,,,1.21,11:01
,,,,,,,,,,1.57,11:01
,,,,,,,,,,18.30,11:01
,,,,,,,,,,1.73,11:00
,,,,,,,,,,1.86,10:59
,,,,,,,,,,1.64,10:59
,,,,,,,,,,1.05,10:59
,,,,,,,,,,15.55,10:58
,,,,,,,,,,4.39,10:57
,,,,,,,,,,1.52,10:57
,,,,,,,,,,1.10,10:56
,,,,,,,,,,2.80,10:56
,,,,,,,,,,1.15,10:56
,,,,,,,,,,6.65,10:55
,,,,,,,,,,1.10,10:55
,,,,,,,,,,17.10,10:55
,,,,,,,,,,2.25,10:54
,,,,,,,,,,4.97,10:53
,,,,,,,,,,1.30,10:52
,,,,,,,,,,1.05,10:52
,,,,,,,,,,11.13,10:52
,,,,,,,,,,1.09,10:51
,,,,,,,,,,1.26,10:51
,,,,,,,,,,3.92,10:51
,,,,,,,,,,1.23,10:50
,,,,,,,,,,1.72,10:50
,,,,,,,,,,1.12,10:49
,,,,,,,,,,1.25,10:49
,,,,,,,,,,1.33,10:49
,,,,,,,,,,1.07,10:49
,,,,,,,,,,1.48,10:48
,,,,,,,,,,1.10,10:48
,,,,,,,,,,2.97,10:48
,,,,,,,,,,1.35,10:47
,,,,,,,,,,2.18,10:47
,,,,,,,,,,6.00,10:47
,,,,,,,,,,6.01,10:46
,,,,,,,,,,2.07,10:45
,,,,,,,,,,1.27,10:45
,,,,,,,,,,27.69,10:45
,,,,,,,,,,1.42,10:44
,,,,,,,,,,1.11,10:43
,,,,,,,,,,1.37,10:43
,,,,,,,,,,2.08,10:43
,,,,,,,,,,1.32,10:42
,,,,,,,,,,2.52,10:42
,,,,,,,,,,3.50,10:42
,,,,,,,,,,1.25,10:41
,,,,,,,,,,3.19,10:41
,,,,,,,,,,1.44,10:40
,,,,,,,,,,1.01,10:40
,,,,,,,,,,6.76,10:40
,,,,,,,,,,5.96,10:39
,,,,,,,,,,2.10,10:38
,,,,,,,,,,1.03,10:38
,,,,,,,,,,19.96,10:38
,,,,,,,,,,1.27,10:37
,,,,,,,,,,1.93,10:36
,,,,,,,,,,1.55,10:36
,,,,,,,,,,24.39,10:36
,,,,,,,,,,8.31,10:35
,,,,,,,,,,1.28,10:34
,,,,,,,,,,4.52,10:34
,,,,,,,,,,2.02,10:33
,,,,,,,,,,27.77,10:33
,,,,,,,,,,1.99,10:32
,,,,,,,,,,9.34,10:31
,,,,,,,,,,2.24,10:30
,,,,,,,,,,1.14,10:30
,,,,,,,,,,1.00,10:30
,,,,,,,,,,1.72,10:29
,,,,,,,,,,1.15,10:29
,,,,,,,,,,1.03,10:29
,,,,,,,,,,2.05,10:29
,,,,,,,,,,597.69,10:28
,,,,,,,,,,13.35,10:26
,,,,,,,,,,3.50,10:25
,,,,,,,,,,7.80,10:25
,,,,,,,,,,2.91,10:24
,,,,,,,,,,1.54,10:24
,,,,,,,,,,2.33,10:23
,,,,,,,,,,8.13,10:23
,,,,,,,,,,1.22,10:22
,,,,,,,,,,1.04,10:22
,,,,,,,,,,1.10,10:22
,,,,,,,,,,3.72,10:21
,,,,,,,,,,4.08,10:21
,,,,,,,,,,1.49,10:20
,,,,,,,,,,1.39,10:20
,,,,,,,,,,1.61,10:20
,,,,,,,,,,4.56,10:19
,,,,,,,,,,1.69,10:19
,,,,,,,,,,2.95,10:18
,,,,,,,,,,53.46,10:18
,,,,,,,,,,2.47,10:18
,,,,,,,,,,9.47,10:18
,,,,,,,,,,1.13,10:18
,,,,,,,,,,3.49,10:18
,,,,,,,,,,2.01,10:18
,,,,,,,,,,1.85,10:18
,,,,,,,,,,1.42,10:18
,,,,,,,,,,1.05,10:18
,,,,,,,,,,2.84,10:18
,,,,,,,,,,17.80,10:10
,,,,,,,,,,1.47,10:09
,,,,,,,,,,4.10,10:09
,,,,,,,,,,1.52,10:08
,,,,,,,,,,27.07,10:08
,,,,,,,,,,1.36,10:07
,,,,,,,,,,1.03,10:06
,,,,,,,,,,1.70,10:06
,,,,,,,,,,3.08,10:06
,,,,,,,,,,1.53,10:05
,,,,,,,,,,1.64,10:05
,,,,,,,,,,5.79,10:05
,,,,,,,,,,9.65,10:04
,,,,,,,,,,1.39,10:03
,,,,,,,,,,1.13,10:03
,,,,,,,,,,3.29,10:03
,,,,,,,,,,1.06,10:02
,,,,,,,,,,1.22,10:02
,,,,,,,,,,2.25,10:02
,,,,,,,,,,5.04,10:01
,,,,,,,,,,1.38,10:01
,,,,,,,,,,1.01,10:00
,,,,,,,,,,3.01,10:00
,,,,,,,,,,6.37,10:00
,,,,,,,,,,4.98,09:59
,,,,,,,,,,11.78,09:58
,,,,,,,,,,3.05,09:57
,,,,,,,,,,1.09,09:57
,,,,,,,,,,1.19,09:57
,,,,,,,,,,1.72,09:56
,,,,,,,,,,10.19,09:56
,,,,,,,,,,3.17,09:55
,,,,,,,,,,1.21,09:55
,,,,,,,,,,3.28,09:54
,,,,,,,,,,1.33,09:54
,,,,,,,,,,1.72,09:54
,,,,,,,,,,4.51,09:53
,,,,,,,,,,1.11,09:53
,,,,,,,,,,1.37,09:52
,,,,,,,,,,1.07,09:52
,,,,,,,,,,23.20,09:52
,,,,,,,,,,2.09,09:51
,,,,,,,,,,3.01,09:50
,,,,,,,,,,1.08,09:50
,,,,,,,,,,2.38,09:50
,,,,,,,,,,5.80,09:49
,,,,,,,,,,12.50,09:49
,,,,,,,,,,5.10,09:48
,,,,,,,,,,1.51,09:47
,,,,,,,,,,3.65,09:47
,,,,,,,,,,1.03,09:46
,,,,,,,,,,2.57,09:46
,,,,,,,,,,1.03,09:45
,,,,,,,,,,10.60,09:45
,,,,,,,,,,4.60,09:44
,,,,,,,,,,1.09,09:44
,,,,,,,,,,3.21,09:44
,,,,,,,,,,1.44,09:43
,,,,,,,,,,1.65,09:43
,,,,,,,,,,1.62,09:42
,,,,,,,,,,1.00,09:42
,,,,,,,,,,1.22,09:42
,,,,,,,,,,2.06,09:42
,,,,,,,,,,1.13,09:41
,,,,,,,,,,4.70,09:41
,,,,,,,,,,1.28,09:40
,,,,,,,,,,1.58,09:40
,,,,,,,,,,5.42,09:40
,,,,,,,,,,2.40,09:39
,,,,,,,,,,1.11,09:39
,,,,,,,,,,1.05,09:38
,,,,,,,,,,2.27,09:38
,,,,,,,,,,1.26,09:38
,,,,,,,,,,2.32,09:38
,,,,,,,,,,2.64,09:37
,,,,,,,,,,4.32,09:37
,,,,,,,,,,2.16,09:36
,,,,,,,,,,1.17,09:36
,,,,,,,,,,2.68,09:35
,,,,,,,,,,2.53,09:35
,,,,,,,,,,28.67,09:34
,,,,,,,,,,1.25,09:33
,,,,,,,,,,2.62,09:33
,,,,,,,,,,1.62,09:33
,,,,,,,,,,1.98,09:32
,,,,,,,,,,17.31,09:32
,,,,,,,,,,1.37,09:31
,,,,,,,,,,6.61,09:31
,,,,,,,,,,1.15,09:30
,,,,,,,,,,1.69,09:30
,,,,,,,,,,3.76,09:29
,,,,,,,,,,16.40,09:29
,,,,,,,,,,2.22,09:28
,,,,,,,,,,5.09,09:27
,,,,,,,,,,3.17,09:27
,,,,,,,,,,1.79,09:26
,,,,,,,,,,1.50,09:26
,,,,,,,,,,2.32,09:26
,,,,,,,,,,2.10,09:25
,,,,,,,,,,1.87,09:25
,,,,,,,,,,14.01,09:24
,,,,,,,,,,5.86,09:23
,,,,,,,,,,1.76,09:23
,,,,,,,,,,70.29,09:22
,,,,,,,,,,2.86,09:21
,,,,,,,,,,5.25,09:20
,,,,,,,,,,1.86,09:20
,,,,,,,,,,1.35,09:19
,,,,,,,,,,2.65,09:19
,,,,,,,,,,7.84,09:19
,,,,,,,,,,3.42,09:18
,,,,,,,,,,1.20,09:17
,,,,,,,,,,8.21,09:17
,,,,,,,,,,2.58,09:16
,,,,,,,,,,1.14,09:16
,,,,,,,,,,1.40,09:16
,,,,,,,,,,15.40,09:15
,,,,,,,,,,4.07,09:14
,,,,,,,,,,1.12,09:14
,,,,,,,,,,13.25,09:14
,,,,,,,,,,1.35,09:13
,,,,,,,,,,1.02,09:12
,,,,,,,,,,1.75,09:12
,,,,,,,,,,1.70,09:12
,,,,,,,,,,3.61,09:11
,,,,,,,,,,2.98,09:11
,,,,,,,,,,1.76,09:10
,,,,,,,,,,1.35,09:10
,,,,,,,,,,7.71,09:10
,,,,,,,,,,1.19,09:09
,,,,,,,,,,7.38,09:09
,,,,,,,,,,3.94,09:08
,,,,,,,,,,2.80,09:07
,,,,,,,,,,1.15,09:07
,,,,,,,,,,9.68,09:07
,,,,,,,,,,1.21,09:06
,,,,,,,,,,1.66,09:06
,,,,,,,,,,4.48,09:05
,,,,,,,,,,1.88,09:05
,,,,,,,,,,5.11,09:04
,,,,,,,,,,1.19,09:04
,,,,,,,,,,1.08,09:03
,,,,,,,,,,9.36,09:03
,,,,,,,,,,1.31,09:02
,,,,,,,,,,1.11,09:02
,,,,,,,,,,1.27,09:02
,,,,,,,,,,11.88,09:02
